,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,4.969055414199829,1.2091945322665973,0.12263154983520508,0.03699665166019826,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8101522842639594,0.7939086294416243,0.7845528455284553,0.7936991869918699,0.7947154471544715,0.7954056786760761,0.008256828126184303,1
21,5.385259437561035,1.1824811504310242,0.1290419101715088,0.04116264160572844,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8071065989847716,0.7928934010152284,0.7876016260162602,0.7916666666666666,0.7936991869918699,0.7945934959349593,0.006598794339616133,2
12,0.6266860961914062,0.05055587130702932,0.017905807495117186,0.0009152571035936223,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8030456852791878,0.798984771573604,0.7794715447154471,0.7896341463414634,0.7987804878048781,0.7939833271429161,0.008481282151489926,3
30,2.631760501861572,0.2098386039077308,0.08343048095703125,0.025143099802098216,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8,0.7928934010152284,0.7886178861788617,0.790650406504065,0.7936991869918699,0.7931721761380051,0.0038490392000657555,4
6,2.718689441680908,0.19895570927474235,0.07992815971374512,0.024722039808469473,0.01,200,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8030456852791878,0.7949238578680203,0.7794715447154471,0.7896341463414634,0.7987804878048781,0.7931711444017993,0.008151474495975242,5
0,0.622374153137207,0.0817356610507196,0.02142057418823242,0.007177703521230474,0.01,50,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8030456852791878,0.7969543147208121,0.7784552845528455,0.7896341463414634,0.7967479674796748,0.7929674796747967,0.008407997244291227,6
3,1.3516037940979004,0.06836584421386702,0.03941125869750976,0.008971279041812519,0.01,100,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8030456852791878,0.7969543147208121,0.7784552845528455,0.7896341463414634,0.7967479674796748,0.7929674796747967,0.008407997244291227,6
36,0.6386859893798829,0.031188319187540545,0.021506547927856445,0.005895566228555639,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8162436548223351,0.7817258883248731,0.7926829268292683,0.7845528455284553,0.7886178861788617,0.7927646403367588,0.01231059696611691,8
9,6.252903079986572,0.339935239471609,0.1588420867919922,0.03325939998079698,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7969543147208121,0.8010152284263959,0.7804878048780488,0.7865853658536586,0.7967479674796748,0.792358136271718,0.007610129626228527,9
24,0.6427782535552978,0.04993541091669355,0.019302749633789064,0.0026366516292451302,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7969543147208121,0.8010152284263959,0.7794715447154471,0.7865853658536586,0.7967479674796748,0.7921548842391977,0.007931245579844459,10
15,1.3005622386932374,0.10919199083012833,0.035910511016845705,0.003977291569430629,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7969543147208121,0.8,0.7804878048780488,0.7865853658536586,0.7957317073170732,0.7919518385539186,0.00727060074124985,11
18,2.5309223175048827,0.1986366095937175,0.07563276290893554,0.02125829089727192,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7959390862944162,0.7918781725888325,0.7804878048780488,0.7876016260162602,0.7967479674796748,0.7905309314514466,0.00598598289616651,12
27,1.203552484512329,0.02740391129333904,0.03570790290832519,0.0050500942261617115,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7969543147208121,0.7918781725888325,0.7815040650406504,0.7865853658536586,0.7957317073170732,0.7905307251042054,0.005782296875530128,13
42,2.398667001724243,0.2700806976408542,0.05921769142150879,0.010141911352443394,1.0,200,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7979695431472081,0.7878172588832487,0.7815040650406504,0.7876016260162602,0.790650406504065,0.7891085799182864,0.0053415534288719264,14
39,1.2429707050323486,0.11334456133070314,0.032714319229125974,0.0012822264266162697,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8111675126903554,0.7817258883248731,0.7815040650406504,0.782520325203252,0.7845528455284553,0.7882941273575172,0.011487144535370367,15
45,5.783387279510498,0.14453349352274886,0.12753210067749024,0.012538702125186943,1.0,500,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7949238578680203,0.7807106598984772,0.7764227642276422,0.7865853658536586,0.7754065040650406,0.7828098303825678,0.007225160224717888,16
28,0.0009997367858886718,0.0006315834685685873,0.0,0.0,0.1,100,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
40,0.0010001182556152344,1.8056961277734266e-06,0.0,0.0,1.0,100,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
35,0.005199909210205078,0.005382927585457847,0.0,0.0,0.1,500,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
34,0.0026006698608398438,0.0037199223700502076,0.0,0.0,0.1,500,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
41,0.0005995750427246094,0.0004895556246482887,0.0,0.0,1.0,100,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
32,0.0013993263244628906,0.0004903336553394406,0.0,0.0,0.1,200,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
43,0.0009997367858886718,1.3687801451117825e-06,0.0,0.0,1.0,200,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
31,0.0008027553558349609,0.000401421985072792,0.0,0.0,0.1,200,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
44,0.0009987354278564453,9.887905766166553e-07,0.0,0.0,1.0,200,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
29,0.0009994983673095703,5.722045898437501e-07,0.0,0.0,0.1,100,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
38,0.0011986255645751952,0.0003988275968063916,0.0,0.0,1.0,50,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
37,0.0007996082305908204,0.0003998042681369174,0.0,0.0,1.0,50,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
23,0.0010000228881835937,1.4273290202232138e-06,0.0,0.0,0.05,500,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
25,0.0009999752044677734,2.790210502305564e-06,0.0,0.0,0.1,50,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
1,0.0016008853912353516,0.0004903002020034709,0.0,0.0,0.01,50,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
2,0.001600933074951172,0.0004899428917001635,0.0,0.0,0.01,50,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
4,0.0015996932983398438,0.0004888323890219457,0.0,0.0,0.01,100,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
5,0.0010015010833740235,5.4983273717497154e-06,0.0,0.0,0.01,100,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
7,0.0010009288787841796,0.0006317523606811167,0.0,0.0,0.01,200,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
8,0.0009995460510253905,0.0006318885393573875,0.0,0.0,0.01,200,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
10,0.0015986442565917968,0.0004909128375387098,0.0,0.0,0.01,500,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
26,0.0011987686157226562,0.00040114286925574806,0.0,0.0,0.1,50,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
11,0.001200246810913086,0.0004004022770387726,0.0,0.0,0.01,500,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
14,0.0013995170593261719,0.0007987031794300533,0.0,0.0,0.05,50,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
16,0.001001262664794922,0.0006333153353525076,0.0,0.0,0.05,100,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
17,0.0011991024017333984,0.0009774578891218134,0.0,0.0,0.05,100,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
19,0.0012037277221679688,0.0004009519886677677,0.0,0.0,0.05,200,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
20,0.0010004043579101562,1.0977615769597375e-06,0.0,0.0,0.05,200,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
22,0.000999307632446289,8.341243593471481e-07,0.0,0.0,0.05,500,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
46,0.0009988784790039063,0.0006326376612073013,0.0,0.0,1.0,500,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
13,0.001402139663696289,0.0008013264688113862,0.0,0.0,0.05,50,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
47,0.00219879150390625,0.0011667455840899221,0.0,0.0,1.0,500,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
