,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,2.485793399810791,0.04992728548191704,0.006400156021118164,0.0004900378104780712,mle,0.001,6,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.7857868020304568,0.7756345177664975,0.7886178861788617,0.7936991869918699,0.8048780487804879,0.7897232883496347,0.009598810642724198,32
43,2.409871006011963,0.033055874798036206,0.006502294540405273,0.0007748664210157554,mle,0.1,6,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7959390862944162,0.7695431472081218,0.7804878048780488,0.7936991869918699,0.8058943089430894,0.7891127068631093,0.01270129146051295,33
31,12.497503566741944,0.21482900196789326,0.008201169967651366,0.0011648231683154657,mle,0.01,6,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.7898477157360406,0.7766497461928934,0.7855691056910569,0.7947154471544715,0.7987804878048781,0.7891125005158681,0.0076587129842394935,34
27,2.745622730255127,0.07016840693062971,0.006200456619262695,0.0004001145566860615,mle,0.01,6,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7928934010152284,0.7756345177664975,0.7835365853658537,0.7896341463414634,0.8038617886178862,0.7891120878213858,0.00943245111697552,35
11,2.688217544555664,0.0588158100943772,0.0062024593353271484,0.00039876517680758765,mle,0.001,6,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7949238578680203,0.7736040609137056,0.782520325203252,0.7845528455284553,0.8079268292682927,0.7887055837563451,0.011761648373278715,36
42,2.399876117706299,0.038096186984559396,0.0066014289855957035,0.0008004216092181674,mle,0.1,6,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.7847715736040609,0.7715736040609137,0.7876016260162602,0.7977642276422764,0.8008130081300813,0.7885048078907185,0.010379278261339882,37
13,4.978490114212036,0.056198167156164644,0.0058013916015625,0.0007481317959436481,mle,0.001,6,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.7908629441624365,0.7715736040609137,0.7845528455284553,0.7845528455284553,0.8058943089430894,0.7874873096446701,0.01114164006127223,38
9,1.2651431560516357,0.034723350369446876,0.005401754379272461,0.0004885057076860468,mle,0.001,6,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.7959390862944162,0.7705583756345178,0.7855691056910569,0.7815040650406504,0.8008130081300813,0.7868767281581445,0.010707102773599632,39
37,2.908662128448486,0.16487318289103575,0.005999946594238281,0.0006326361696712717,mle,0.1,4,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.7847715736040609,0.7807106598984772,0.7804878048780488,0.7916666666666666,0.7947154471544715,0.7864704304403449,0.005776401152962972,40
41,1.2369510650634765,0.047461023771579805,0.00579991340637207,0.0003998997208186272,mle,0.1,6,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.7898477157360406,0.7746192893401015,0.774390243902439,0.7886178861788617,0.7967479674796748,0.7848446205274235,0.00888605145737884,41
