,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
83,0.0020000457763671873,0.004000091552734375,0.0,0.0,100,0.1,4,500,"{'pca__n_components': 100, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500}",,,,,,,,33
84,0.0020001411437988283,0.004000282287597657,0.0,0.0,100,0.1,6,50,"{'pca__n_components': 100, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50}",,,,,,,,33
85,0.002000093460083008,0.004000186920166016,0.0,0.0,100,0.1,6,100,"{'pca__n_components': 100, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100}",,,,,,,,33
86,0.0,0.0,0.0,0.0,100,0.1,6,200,"{'pca__n_components': 100, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200}",,,,,,,,33
87,0.00020155906677246093,0.00040311813354492186,0.0,0.0,100,0.1,6,500,"{'pca__n_components': 100, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",,,,,,,,33
88,0.0,0.0,0.0,0.0,100,1.0,4,50,"{'pca__n_components': 100, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50}",,,,,,,,33
89,0.0020001888275146484,0.004000377655029297,0.0,0.0,100,1.0,4,100,"{'pca__n_components': 100, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 100}",,,,,,,,33
90,0.0,0.0,0.0,0.0,100,1.0,4,200,"{'pca__n_components': 100, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 200}",,,,,,,,33
91,0.0020001411437988283,0.004000282287597657,0.0,0.0,100,1.0,4,500,"{'pca__n_components': 100, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 500}",,,,,,,,33
92,0.0,0.0,0.0,0.0,100,1.0,6,50,"{'pca__n_components': 100, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 50}",,,,,,,,33
