,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
146,2.9633577823638917,0.018577184237041546,0.007103824615478515,0.0006648693142470803,mle,0.1,4,200,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8387065717437915,0.81934209704615,0.8325637872092053,0.8496388518302344,0.8403747407790471,0.8361252097216857,0.010016956309445666,165
144,2.9058491706848146,0.03111698348355933,0.007902288436889648,0.0013612544934289632,mle,0.1,4,200,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8394845854409958,0.8189569932762963,0.8302916284499291,0.8526171516718084,0.8390244412058149,0.8360749600089689,0.01113948651339064,166
172,2.2947463035583495,0.01310755170180001,0.008200263977050782,0.00039954283653054,mle,0.1,6,100,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8362502341847249,0.8098159828472699,0.8331552780788793,0.8454723588760109,0.842746253375749,0.8334880214725267,0.012628896633384025,167
168,2.256251096725464,0.03519973238818198,0.007002639770507813,0.0006344485916827372,mle,0.1,6,100,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8352016070276232,0.8071931139282666,0.8323501209038606,0.8458006753939797,0.8385412585732269,0.8318173551653916,0.013105986251758175,168
177,4.204202508926391,0.05497029313094747,0.007401132583618164,0.0004912286423229546,mle,0.1,6,200,0,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8278638189804117,0.8076484731155935,0.8284468023013425,0.8427702618193946,0.8357675290823708,0.8284993770598226,0.01176138664539908,169
179,4.275811958312988,0.03465907768546374,0.0072043418884277345,0.0006800742156104954,mle,0.1,6,200,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8306298007868608,0.8030740648223318,0.8313860168431585,0.8436197156674727,0.8322572725515699,0.8281933741342786,0.01342829941618854,170
178,4.384637546539307,0.02477850267879016,0.007600021362304687,0.0004897457564161191,mle,0.1,6,200,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8318085305689127,0.8015206394804221,0.8286292003668807,0.8439037355123822,0.8326673248397662,0.8277058861536728,0.014073645877003627,171
182,4.577266550064087,0.04302803205033759,0.00780029296875,0.0003999235662157359,mle,0.1,6,200,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8301224005495534,0.7994442015862113,0.8274305845076294,0.8420667264237472,0.8321815304091642,0.8262490886952613,0.014284900965723452,172
181,4.373819875717163,0.02972710186092927,0.007602405548095703,0.0004885815650559959,mle,0.1,6,200,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8283634130602219,0.7992126189137992,0.8293561869423831,0.8412172725756691,0.8316043230480727,0.8259507629080293,0.014123563272460948,173
183,4.520256090164184,0.03497425181835923,0.007806110382080078,0.0006745023563661327,mle,0.1,6,200,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8282567289077625,0.7992724661212764,0.825710831318269,0.8388721545901777,0.8354619487147342,0.8255148259304439,0.013954077389872728,174
