,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
319,0.003000164031982422,0.0006324099186395563,0.0,0.0,100,0.001,6,500,0.5,0.5,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",,,,,,,,257
320,0.0030001163482666015,0.0006326363493745941,0.0,0.0,100,0.01,4,50,0,0,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",,,,,,,,257
321,0.003000020980834961,0.0006330129205680222,0.0,0.0,100,0.01,4,50,0,0,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",,,,,,,,257
322,0.0029999732971191405,3.1629798797182086e-07,0.0,0.0,100,0.01,4,50,0,0.5,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",,,,,,,,257
323,0.003401327133178711,0.0004889724400967284,0.0,0.0,100,0.01,4,50,0,0.5,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",,,,,,,,257
324,0.0028002262115478516,0.0007490292952993816,0.0,0.0,100,0.01,4,50,0.5,0,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",,,,,,,,257
325,0.0028005599975585937,0.00040083546988867094,0.0,0.0,100,0.01,4,50,0.5,0,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",,,,,,,,257
326,0.00319976806640625,0.0003997326608234803,0.0,0.0,100,0.01,4,50,0.5,0.5,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",,,,,,,,257
327,0.003000211715698242,4.6231077741778654e-07,0.0,0.0,100,0.01,4,50,0.5,0.5,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",,,,,,,,257
328,0.0030000686645507814,0.0006319574218284538,0.0,0.0,100,0.01,4,100,0,0,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",,,,,,,,257
329,0.0029998779296875,0.0006324851828711864,0.0,0.0,100,0.01,4,100,0,0,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",,,,,,,,257
330,0.002600288391113281,0.0004897653063851527,0.0,0.0,100,0.01,4,100,0,0.5,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",,,,,,,,257
331,0.0030017852783203124,0.0006326427647497652,0.0,0.0,100,0.01,4,100,0,0.5,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",,,,,,,,257
332,0.003201198577880859,0.0003992637396341223,0.0,0.0,100,0.01,4,100,0.5,0,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",,,,,,,,257
333,0.0028004169464111326,0.000400161828394718,0.0,0.0,100,0.01,4,100,0.5,0,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",,,,,,,,257
334,0.003101539611816406,0.00020279931988403396,0.0,0.0,100,0.01,4,100,0.5,0.5,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",,,,,,,,257
335,0.0033998966217041017,0.0007998705389972309,0.0,0.0,100,0.01,4,100,0.5,0.5,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",,,,,,,,257
336,0.0031999588012695313,0.0003997564991222722,0.0,0.0,100,0.01,4,200,0,0,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",,,,,,,,257
337,0.003200054168701172,0.0003997087585296766,0.0,0.0,100,0.01,4,200,0,0,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",,,,,,,,257
338,0.002801370620727539,0.0004004084099132079,0.0,0.0,100,0.01,4,200,0,0.5,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",,,,,,,,257
339,0.0028002262115478516,0.0007484558220642731,0.0,0.0,100,0.01,4,200,0,0.5,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",,,,,,,,257
340,0.003200054168701172,0.0004003052629123874,0.0,0.0,100,0.01,4,200,0.5,0,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",,,,,,,,257
341,0.0025018692016601563,0.0004475270193981512,0.0,0.0,100,0.01,4,200,0.5,0,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",,,,,,,,257
342,0.0027008056640625,0.0006010548361969231,0.0,0.0,100,0.01,4,200,0.5,0.5,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",,,,,,,,257
343,0.0028004169464111326,0.00039980463779985625,0.0,0.0,100,0.01,4,200,0.5,0.5,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",,,,,,,,257
344,0.003000164031982422,0.0006327114069891945,0.0,0.0,100,0.01,4,500,0,0,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",,,,,,,,257
345,0.002799367904663086,0.0007479715997670347,0.0,0.0,100,0.01,4,500,0,0,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",,,,,,,,257
346,0.0028000354766845705,0.00039997115041960385,0.0,0.0,100,0.01,4,500,0,0.5,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",,,,,,,,257
347,0.002799701690673828,0.0007483793298147007,0.0,0.0,100,0.01,4,500,0,0.5,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",,,,,,,,257
382,0.004000520706176758,0.0015496966697580454,0.0,0.0,100,0.01,6,500,0.5,0.5,0.8,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",,,,,,,,257
511,0.003801727294921875,0.00040062499346778187,0.0,0.0,100,1.0,6,500,0.5,0.5,0.9,"{'pca__n_components': 100, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",,,,,,,,257
