,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bag__max_features,param_bag__max_samples,param_bag__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,5.5244533061981205,0.09028281359282633,0.03530683517456055,0.0011592162246059487,0.75,0.5,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8261256479110723,0.8283373925352318,0.8348776369548903,0.8445577628616693,0.8435454635680295,0.8354887807661786,0.007567571357683283,1
6,3.624984693527222,0.0661407825574187,0.03591790199279785,0.0014621703518327598,0.5,0.5,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8275047357355483,0.8237265555069839,0.8328373843075128,0.8437421829400483,0.8424171668259863,0.8340456050632159,0.007935139842113208,2
60,7.78892035484314,0.2191563351808191,0.0374110221862793,0.001978969510782368,1.0,0.5,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8261985053810446,0.8258888611336623,0.8357792045359792,0.8387653214375052,0.8435454635680295,0.8340354712112441,0.006980506183317115,3
57,3.920634365081787,0.062379331143572726,0.01940755844116211,0.000964826364867495,1.0,0.5,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8282072899102813,0.8199197527009305,0.8363316101058951,0.8395548444926206,0.8390139940137589,0.8326054982446973,0.007530186152438596,4
62,1.1689017295837403,0.016813099493844817,0.0314082145690918,0.0007366075810095106,1.0,0.5,100,3,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.831121588709174,0.8210984824829826,0.8331943633786376,0.8391353289418827,0.8325863591013325,0.8314272245228018,0.0058422182742192364,5
30,2.7912941932678224,0.047306848138365505,0.01920151710510254,0.000978452222695086,0.75,0.5,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8260423822311038,0.8237629842419701,0.8268260652047028,0.8398049904110734,0.8377080950067646,0.8308289034191227,0.00658413437376205,6
69,11.196940565109253,0.12285891838989697,0.038109111785888675,0.0010226797844979688,1.0,0.75,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8253033993213847,0.8231697162721955,0.8284910989744018,0.835672371383307,0.8407221099149076,0.8306717391732393,0.006570705998519948,7
3,1.803504514694214,0.05259596286561751,0.01900625228881836,0.0012991169651974533,0.5,0.5,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.819797456233477,0.8329950665084619,0.8177660927207538,0.8443388851830232,0.8381886658413384,0.8306172332974109,0.010329412392299793,8
59,0.5950539588928223,0.012185972218233492,0.017911481857299804,0.0011927770692159937,1.0,0.5,50,3,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 3}",0.8234247174170986,0.814502279397989,0.834890665388143,0.8400890102559826,0.8357727526783989,0.8297358850275224,0.00940315171290597,9
15,5.046719169616699,0.030594427205472192,0.03670854568481445,0.002788319291662257,0.5,0.75,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8201044984283603,0.8224697641499615,0.826583736346202,0.8382024931209872,0.8412993172759992,0.8297319618643021,0.008495793109020277,10
42,7.9829164981842045,0.11089089202962556,0.03671054840087891,0.0031484995478342063,0.75,0.75,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.826081413018589,0.819347301151148,0.8241682648211457,0.8406362044525973,0.8383375383281357,0.8297141443543232,0.00830757816901246,11
66,5.681761980056763,0.13427817285041982,0.020405960083007813,0.0008666186201831776,1.0,0.75,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8305283207393992,0.8172032098919628,0.8283816601350789,0.8323761777703661,0.8352947936418389,0.8287568324357292,0.006206604809926193,12
35,0.9338457584381104,0.018180018857768727,0.03200793266296387,0.0020317149629959547,0.75,0.5,100,3,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.8271508565956827,0.8159828472699265,0.8223025931793545,0.8358391353289418,0.8367156117614488,0.8275982088270709,0.007927170984500027,13
78,11.328409051895141,0.2314139810764488,0.023203277587890626,0.00040321632048632506,1.0,1.0,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8206197048231646,0.8200576614833782,0.8256378720920536,0.8332933794713583,0.8381886658413384,0.8275594567422587,0.007127236944396897,14
71,1.537130641937256,0.020949088569348098,0.03140263557434082,0.0010184673363119977,1.0,0.75,100,3,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.8187540331813734,0.81863173671392,0.82762340531977,0.8396173809722338,0.8286634384843213,0.8266579989343237,0.00774329309708413,15
