,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,2.301451253890991,0.035707104565032906,0.0070000171661376955,0.0006324855747178829,mle,0.01,4,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7979695431472081,0.7969543147208121,0.7804878048780488,0.801829268292683,0.801829268292683,0.795814039866287,0.007914617439852225,16
0,1.3750009059906005,0.02809995116683711,0.006800365447998047,0.00039932911086283955,mle,0.001,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.7898477157360406,0.7979695431472081,0.7876016260162602,0.7957317073170732,0.806910569105691,0.7956122322644547,0.006791510399523168,17
2,2.6895976066589355,0.0817129047071708,0.007600212097167968,0.0007996085220560228,mle,0.001,4,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.7918781725888325,0.7979695431472081,0.7855691056910569,0.7967479674796748,0.8058943089430894,0.7956118195699723,0.006743522849092703,18
33,1.1690534114837647,0.012642100517179749,0.006400060653686523,0.0004900182528205475,mle,0.1,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.7888324873096447,0.8020304568527918,0.7896341463414634,0.7977642276422764,0.7977642276422764,0.7952051091576906,0.00512502647628865,19
24,2.589517688751221,0.08627177672270753,0.007200813293457032,0.0007480489300735097,mle,0.01,6,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.7969543147208121,0.7959390862944162,0.790650406504065,0.7916666666666666,0.7997967479674797,0.7950014444306879,0.0033982373201103797,20
18,2.303548240661621,0.02689379277898118,0.006800460815429688,0.0007478313543557931,mle,0.01,4,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.7939086294416243,0.7959390862944162,0.7886178861788617,0.7967479674796748,0.7987804878048781,0.7947988114398911,0.0034626418746169117,21
3,2.645689344406128,0.12480338284279235,0.006800127029418945,0.0007487616673694166,mle,0.001,4,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7857868020304568,0.8,0.7835365853658537,0.7977642276422764,0.8048780487804879,0.7943931327638151,0.00830262916017093,22
31,22.555521488189697,0.6002177941924624,0.008304071426391602,0.0004006171271835204,mle,0.01,6,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.7918781725888325,0.8030456852791878,0.7835365853658537,0.790650406504065,0.8028455284552846,0.7943912756386446,0.0075433054644928575,23
40,2.545304298400879,0.07372317443714832,0.007503986358642578,0.0006354381421392123,mle,0.1,6,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.7918781725888325,0.8,0.7845528455284553,0.7865853658536586,0.8079268292682927,0.7941886426478478,0.008700647354321881,24
35,2.260175848007202,0.03339624550081899,0.007200098037719727,0.0007485577459091247,mle,0.1,4,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7878172588832487,0.7959390862944162,0.7936991869918699,0.7987804878048781,0.7936991869918699,0.7939870413932566,0.0036060932969302056,25
