,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bag__max_features,param_bag__max_samples,param_bag__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,5.766457891464233,0.055992701186747734,0.03681073188781738,0.003967248523868566,0.75,0.5,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7959390862944162,0.7928934010152284,0.7926829268292683,0.7845528455284553,0.7865853658536586,0.7905307251042053,0.0042606451231642604,1
6,3.6855834484100343,0.07509579915728945,0.0339087963104248,0.0030980418250554378,0.5,0.5,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7959390862944162,0.7868020304568528,0.7774390243902439,0.7886178861788617,0.8008130081300813,0.7899222070900912,0.008025945280550215,2
30,2.869165134429932,0.03562190705547211,0.01810307502746582,0.00066482372299583,0.75,0.5,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7949238578680203,0.7898477157360406,0.7815040650406504,0.7774390243902439,0.7947154471544715,0.7876860220378854,0.007066676131318788,3
60,8.361570501327515,0.1865722543129402,0.038005495071411134,0.003559727176163492,1.0,0.5,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7908629441624365,0.7918781725888325,0.7876016260162602,0.7764227642276422,0.790650406504065,0.7874831826998473,0.0057116882949577565,4
57,4.214620971679688,0.12693885821641057,0.019104385375976564,0.0014928177611722964,1.0,0.5,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7928934010152284,0.782741116751269,0.7774390243902439,0.782520325203252,0.8008130081300813,0.787281375098015,0.008423221911125975,5
42,8.351802730560303,0.190950796070623,0.03580183982849121,0.0016018103390952978,0.75,0.75,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7928934010152284,0.7868020304568528,0.782520325203252,0.7815040650406504,0.782520325203252,0.785248029383847,0.004237089470701173,6
3,1.8441195964813233,0.04592416979602569,0.018707942962646485,0.001894762626661283,0.5,0.5,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7796954314720812,0.7878172588832487,0.7845528455284553,0.7774390243902439,0.7896341463414634,0.7838277413230985,0.004648613867845426,7
66,6.204334497451782,0.3467688683976634,0.01990499496459961,0.0016809347727026384,1.0,0.75,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8,0.7949238578680203,0.7754065040650406,0.7703252032520326,0.7784552845528455,0.7838221699475878,0.011547854008042391,8
39,4.229245948791504,0.12766652040587634,0.01840348243713379,0.0010185199105248702,0.75,0.75,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7959390862944162,0.7817258883248731,0.7794715447154471,0.7754065040650406,0.7855691056910569,0.7836224258181668,0.006983089953030764,9
69,12.220620822906493,0.44670684123408955,0.03620309829711914,0.0007508350541790419,1.0,0.75,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7969543147208121,0.7928934010152284,0.7754065040650406,0.766260162601626,0.7835365853658537,0.7830101935537122,0.011231856693583696,10
15,5.138849592208862,0.06579127129778288,0.0345156192779541,0.0033257433413203144,0.5,0.75,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7918781725888325,0.7736040609137056,0.7774390243902439,0.7835365853658537,0.7815040650406504,0.7815923816598571,0.006174931058120007,11
51,10.563997507095337,0.2425587833068049,0.03710794448852539,0.0025756270843604653,0.75,1.0,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7898477157360406,0.7796954314720812,0.7754065040650406,0.7723577235772358,0.7876016260162602,0.7809818001733316,0.006775543095897184,12
63,1.253057336807251,0.05076811371080982,0.005401134490966797,0.0004905784713372505,1.0,0.75,10,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7695431472081218,0.7847715736040609,0.7835365853658537,0.7733739837398373,0.7855691056910569,0.7793588791217861,0.006595225102991494,13
48,5.168847894668579,0.09444903050290591,0.020708227157592775,0.0032495112318033023,0.75,1.0,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7918781725888325,0.7736040609137056,0.7804878048780488,0.7733739837398373,0.7774390243902439,0.7793566093021337,0.006791611061418782,14
78,12.340839195251466,0.3243906448090396,0.023804187774658203,0.000930610416879117,1.0,1.0,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7878172588832487,0.7928934010152284,0.7672764227642277,0.7693089430894309,0.7764227642276422,0.7787437579959556,0.010084079904823484,15
24,6.437109136581421,0.05622679746208836,0.03341045379638672,0.0011671889264877134,0.5,1.0,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7857868020304568,0.7746192893401015,0.7835365853658537,0.7733739837398373,0.7754065040650406,0.778544632908258,0.005086460272547406,16
75,7.714156532287598,0.2534387350681954,0.01970663070678711,0.0007490565937537387,1.0,1.0,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7908629441624365,0.7898477157360406,0.7723577235772358,0.7591463414634146,0.7804878048780488,0.7785405059634354,0.01181395669334979,17
12,2.6004462242126465,0.03945480145843442,0.01870756149291992,0.0011637983265247304,0.5,0.75,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7878172588832487,0.7786802030456853,0.7764227642276422,0.7713414634146342,0.7774390243902439,0.7783401427922909,0.005355394258938361,18
36,0.8641950607299804,0.01829676487333666,0.005201101303100586,0.000400314237223084,0.75,0.75,10,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7725888324873097,0.7786802030456853,0.7804878048780488,0.7764227642276422,0.7784552845528455,0.7773269778383063,0.002696766422959486,19
27,0.6228896617889405,0.01915443453174299,0.005602359771728516,0.0007984780096466197,0.75,0.5,10,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7796954314720812,0.7807106598984772,0.7723577235772358,0.7672764227642277,0.7845528455284553,0.7769186166480954,0.0062312982864745885,20
