,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,9.238437986373901,1.9704705892624528,0.12174615859985352,0.033751403427272036,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7949238578680203,0.8040609137055837,0.7855691056910569,0.7997967479674797,0.8038617886178862,0.7976424827700053,0.006894551978098285,1
30,4.655044603347778,0.20008025673703844,0.06898384094238282,0.002829894760878062,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8050761421319796,0.8010152284263959,0.7774390243902439,0.7957317073170732,0.8028455284552846,0.7964215261441955,0.009980816670988471,2
21,9.95541696548462,1.8964551855741532,0.1262338638305664,0.03387042945384124,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8020304568527918,0.7969543147208121,0.782520325203252,0.7926829268292683,0.8048780487804879,0.7958132144773223,0.007856551908784494,3
27,2.391283655166626,0.06178159519150224,0.03750090599060059,0.002748348349441375,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8010152284263959,0.7918781725888325,0.7815040650406504,0.7876016260162602,0.801829268292683,0.7927656720729643,0.007803624496641297,4
18,4.693383026123047,0.10531381238576577,0.07358932495117188,0.007338322188361837,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.798984771573604,0.7928934010152284,0.7774390243902439,0.7876016260162602,0.7967479674796748,0.7907333580950022,0.0076873167012782425,5
42,4.395426511764526,0.2987259504884121,0.06735563278198242,0.01944692938143676,1.0,200,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8081218274111676,0.7736040609137056,0.7672764227642277,0.7936991869918699,0.7896341463414634,0.7864671288844869,0.014594521926653701,6
36,1.1970305442810059,0.03955472405795565,0.019243288040161132,0.0015089517213058312,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8050761421319796,0.7685279187817259,0.774390243902439,0.790650406504065,0.790650406504065,0.7858590235648549,0.013016239448566393,7
24,1.21901593208313,0.031923160449921203,0.019051265716552735,0.002028540025668833,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7979695431472081,0.7868020304568528,0.7764227642276422,0.782520325203252,0.7855691056910569,0.7858567537452024,0.007040282241429834,8
15,2.35354266166687,0.04731570770631861,0.036915254592895505,0.0027173881464585934,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8,0.7857868020304568,0.7733739837398373,0.7815040650406504,0.7865853658536586,0.7854500433329206,0.008654542883816759,9
39,2.2896790981292723,0.045894018536023096,0.03578605651855469,0.0022186874833158717,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7949238578680203,0.7776649746192893,0.7672764227642277,0.7876016260162602,0.7936991869918699,0.7842332136519335,0.010449069318200738,10
9,11.254388093948364,0.5175631211731518,0.15428428649902343,0.028476073810305924,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7979695431472081,0.783756345177665,0.7733739837398373,0.7815040650406504,0.7845528455284553,0.7842313565267633,0.007929532461156267,11
6,4.643024921417236,0.06976221118223583,0.06968908309936524,0.004524679671815322,0.01,200,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7928934010152284,0.7878172588832487,0.7754065040650406,0.7754065040650406,0.7835365853658537,0.7830120506788825,0.006880333212648804,12
12,1.162622594833374,0.03656075485183749,0.017145156860351562,0.0007356513803318273,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7878172588832487,0.7888324873096447,0.774390243902439,0.7804878048780488,0.782520325203252,0.7828096240353266,0.005248081337530079,13
3,2.3121389389038085,0.05769284202915893,0.0385075569152832,0.007494964254885584,0.01,100,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7918781725888325,0.7776649746192893,0.7703252032520326,0.7693089430894309,0.7957317073170732,0.7809818001733317,0.010928043509855262,14
45,10.666832065582275,0.25919590152213257,0.13746256828308107,0.013058963519136348,1.0,500,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7928934010152284,0.7654822335025381,0.7571138211382114,0.7886178861788617,0.7936991869918699,0.7795613057653419,0.015243070163064433,15
0,1.154876136779785,0.0338399264524441,0.017561864852905274,0.0006266238526590919,0.01,50,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7888324873096447,0.7725888324873097,0.7621951219512195,0.7693089430894309,0.7957317073170732,0.7777314184309356,0.01253798165260841,16
35,0.0018081188201904297,0.0005164192521795646,0.0,0.0,0.1,500,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
34,0.0014021873474121093,0.0010243111062405998,0.0,0.0,0.1,500,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
