,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bag__max_features,param_bag__max_samples,param_bag__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,5.700703048706055,0.14911683142888355,0.03550467491149902,0.000888768266468959,0.75,0.5,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8301822477570309,0.8261776889610525,0.8268156424581006,0.835224193279413,0.8478706010791951,0.8332540747069583,0.007981089853373603,1
60,7.926206874847412,0.19625055855186335,0.03880610466003418,0.0034379763397633274,1.0,0.5,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8289540789774975,0.8286834655176003,0.8317456016009339,0.8354951846910699,0.8377394365829324,0.8325235534740066,0.003581303156874182,2
6,3.778566074371338,0.10178509422090791,0.03461132049560547,0.000591514863008511,0.5,0.5,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8233882886821126,0.8282775453277545,0.8256587175852581,0.8443232510631201,0.8386875192620104,0.8320670643840511,0.008059690388091557,3
57,4.002183341979981,0.08624588963893101,0.02060074806213379,0.0010189750495821204,1.0,0.5,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8202892441557901,0.8272887653781302,0.8279517218377387,0.8338900817143333,0.8446633131180167,0.8308166252408018,0.008156667445621364,4
30,2.8234333038330077,0.04984718391805879,0.019902706146240234,0.0011965307695084178,0.75,0.5,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8218764961801869,0.817466017194363,0.8290122363045109,0.8368683815559076,0.8449453873035275,0.8300337037076992,0.009945866513794158,5
69,11.517977809906006,0.28779692423545594,0.038106441497802734,0.001684977133914072,1.0,0.75,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8255505943087909,0.8265705988884032,0.8250359584757776,0.8274462186275326,0.8419809965576501,0.8293168733716308,0.0063864306009576354,6
42,8.182562351226807,0.15646299599337685,0.03590946197509766,0.00037449414631339836,0.75,0.75,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.821218176897937,0.8174608130893648,0.8270214917034937,0.8312896064370884,0.8429708680049519,0.8279921912265673,0.008865361337917653,7
3,1.9870310306549073,0.06600019973812,0.02170701026916504,0.0011724916623928419,0.5,0.5,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8217776181852245,0.8254855429963155,0.8224797798715917,0.8329754856999916,0.8341691086978098,0.8273775070901866,0.005222819788211806,8
39,4.09222731590271,0.1204822099729391,0.0214052677154541,0.0027988929136164124,0.75,0.75,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8186447469764151,0.8192145964736985,0.8216459601434171,0.8323839948303176,0.8422682943391888,0.8268315185526074,0.009176652835448931,9
24,6.320894861221314,0.10663763984943611,0.035906314849853516,0.002107827480621919,0.5,1.0,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8217099648202503,0.8145855450779574,0.8244574960393563,0.8313104519302926,0.8407351689049776,0.8265597253545668,0.008886316913984954,10
