,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
111,0.0015997886657714844,0.000489590076271226,0.0,0.0,50,0.1,6,500,1,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",,,,,,,,65
110,0.001399993896484375,0.0004897846977350241,0.0,0.0,50,0.1,6,500,0.9,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",,,,,,,,65
109,0.0015997886657714844,0.0007997751431416105,0.0,0.0,50,0.1,6,200,1,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",,,,,,,,65
108,0.0013998031616210937,0.0004900377640788583,0.0,0.0,50,0.1,6,200,0.9,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",,,,,,,,65
107,0.0014000892639160155,0.0004901934829424045,0.0,0.0,50,0.1,6,100,1,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",,,,,,,,65
106,0.0012000560760498046,0.0003996615015020801,0.0,0.0,50,0.1,6,100,0.9,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",,,,,,,,65
105,0.0009996414184570313,2.3360154559928684e-07,0.0,0.0,50,0.1,6,50,1,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",,,,,,,,65
104,0.0011993885040283204,0.00039963729340880707,0.0,0.0,50,0.1,6,50,0.9,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",,,,,,,,65
103,0.0011999130249023438,0.00040032867521720087,0.0,0.0,50,0.1,4,500,1,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",,,,,,,,65
102,0.0014000892639160155,0.0004899989078357661,0.0,0.0,50,0.1,4,500,0.9,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",,,,,,,,65
101,0.0015012741088867188,0.0004475047350281149,0.0,0.0,50,0.1,4,200,1,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",,,,,,,,65
100,0.0016001224517822265,0.0004896683845512643,0.0,0.0,50,0.1,4,200,0.9,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",,,,,,,,65
99,0.0010000705718994141,5.135693366178993e-07,0.0,0.0,50,0.1,4,100,1,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",,,,,,,,65
98,0.0015997886657714844,0.0004894927713595515,0.0,0.0,50,0.1,4,100,0.9,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",,,,,,,,65
97,0.001200389862060547,0.00040044787384890704,0.0,0.0,50,0.1,4,50,1,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",,,,,,,,65
96,0.001400136947631836,0.0004894732058599682,0.0,0.0,50,0.1,4,50,0.9,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",,,,,,,,65
126,0.0014002323150634766,0.0004899794739182331,0.0,0.0,50,1.0,6,500,0.9,"{'pca__n_components': 50, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",,,,,,,,65
191,0.0018000602722167969,0.00039982913716005044,0.0,0.0,100,1.0,6,500,1,"{'pca__n_components': 100, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",,,,,,,,65
