,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__max_iter,param_logistic__penalty,param_logistic__solver,param_logistic__tol,param_pca__n_components,param_logistic__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
62,0.5155677318572998,0.02654092580182206,0.009029197692871093,0.0020550887939992223,0.0001,10000,l2,liblinear,0.001,0.9,,"{'logistic__C': 0.0001, 'logistic__max_iter': 10000, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear', 'logistic__tol': 0.001, 'pca__n_components': 0.9}",0.8248402339765607,0.8222511917400446,0.8340750854665222,0.8400629533894771,0.8447338316643944,0.8331926592473998,0.008609959320567268,2543
1607,0.37066068649291994,0.016029541554107116,0.0058037757873535155,0.001126337114980654,0.0001,10000,elasticnet,saga,0.001,0.9,0,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 0.9}",0.8248610503965529,0.8222303753200524,0.8340750854665221,0.8400733761360794,0.8447233844723383,0.833192654358309,0.008610086411814438,2546
641,0.3512585163116455,0.02018461507998211,0.005537748336791992,0.0012428837409514369,0.0001,100,l2,newton-cg,0.1,0.85,,"{'logistic__C': 0.0001, 'logistic__max_iter': 100, 'logistic__penalty': 'l2', 'logistic__solver': 'newton-cg', 'logistic__tol': 0.1, 'pca__n_components': 0.85}",0.8248090093465725,0.8222563958450426,0.8341271991995329,0.8399899941632618,0.8447756204326181,0.8331916437974056,0.008615446064000267,2547
731,0.35091409683227537,0.021226503456271216,0.0056188106536865234,0.0006181166162941254,0.0001,10000,l2,newton-cg,0.1,0.85,,"{'logistic__C': 0.0001, 'logistic__max_iter': 10000, 'logistic__penalty': 'l2', 'logistic__solver': 'newton-cg', 'logistic__tol': 0.1, 'pca__n_components': 0.85}",0.8248090093465725,0.8222563958450426,0.8341271991995329,0.8399899941632618,0.8447756204326181,0.8331916437974056,0.008615446064000267,2547
686,0.3702978610992432,0.009209922678769356,0.005477094650268554,0.0013403026565730457,0.0001,1000,l2,newton-cg,0.1,0.85,,"{'logistic__C': 0.0001, 'logistic__max_iter': 1000, 'logistic__penalty': 'l2', 'logistic__solver': 'newton-cg', 'logistic__tol': 0.1, 'pca__n_components': 0.85}",0.8248090093465725,0.8222563958450426,0.8341271991995329,0.8399899941632618,0.8447756204326181,0.8331916437974056,0.008615446064000267,2547
662,0.33571739196777345,0.017245839984205626,0.0024085044860839844,0.0022729098618576526,0.0001,100,l2,sag,0.001,0.9,,"{'logistic__C': 0.0001, 'logistic__max_iter': 100, 'logistic__penalty': 'l2', 'logistic__solver': 'sag', 'logistic__tol': 0.001, 'pca__n_components': 0.9}",0.8248766627115468,0.8221991506900643,0.8340594513466189,0.8400785875093805,0.8447442788564503,0.833191626222812,0.008621140012938443,2550
1581,0.3644428253173828,0.008077955119448983,0.0062277793884277345,0.0006607288434683457,0.0001,100,elasticnet,saga,0.01,0.85,0,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 0.85}",0.824673702616624,0.8222147630050584,0.8340855082131243,0.8401463353622947,0.844827856392898,0.833189633118,0.008690401436049117,2551
1592,0.37271943092346194,0.019730695021417916,0.006404781341552734,0.000969417349641182,0.0001,1000,elasticnet,saga,0.001,0.9,0,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 0.9}",0.8248298257665647,0.8222720081600365,0.83406466271992,0.8400785875093806,0.8447024900882266,0.8331895148488258,0.00860058322014936,2552
1595,0.3508619785308838,0.0089019835171489,0.004895782470703125,0.0009176478143338699,0.0001,1000,elasticnet,saga,0.01,0.8,0,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 0.8}",0.8250223776514914,0.8224801723599574,0.8341532560660385,0.8396460435253899,0.8446450305319189,0.8331893760269592,0.00842895658665112,2553
752,0.3443873405456543,0.025411326614723576,0.0057143688201904295,0.0009836681283582416,0.0001,10000,l2,sag,0.001,0.9,,"{'logistic__C': 0.0001, 'logistic__max_iter': 10000, 'logistic__penalty': 'l2', 'logistic__solver': 'sag', 'logistic__tol': 0.001, 'pca__n_components': 0.9}",0.8248194175565686,0.8222511917400446,0.8339969148670058,0.8400890102559827,0.8447703968365903,0.8331853862512384,0.008626437447343161,2554
