,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__max_iter,param_logistic__penalty,param_logistic__solver,param_logistic__tol,param_pca__n_components,param_logistic__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2142,0.017838001251220703,0.0033098980415901366,0.0026992321014404296,0.0006908301421476705,0.001,1000,elasticnet,saga,0.1,0.9,0.2,"{'logistic__C': 0.001, 'logistic__l1_ratio': 0.2, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.82744749058057,0.8236146672495264,0.8310107979654799,0.8339083215208872,0.8473404060823551,0.8326643366797638,0.008109015990778453,3255
1660,0.030449581146240235,0.0035328808749814766,0.005797672271728516,0.0014211826556370234,0.0001,10000,elasticnet,saga,0.1,0.8,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.8}",0.8268125897708112,0.823520993359562,0.8289627282581506,0.8388018010506127,0.8452196260949962,0.8326635477068265,0.008085163349688982,3256
1648,0.02571077346801758,0.004529097070641337,0.0035051822662353514,0.0007725428534817816,0.0001,1000,elasticnet,saga,0.1,0.95,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8265888132558963,0.8235574220945482,0.8289627282581506,0.8388018010506127,0.8452196260949962,0.8326260781508408,0.008109823989111531,3257
1677,0.017749500274658204,0.002954830982807078,0.002988719940185547,0.0002614253185888528,0.0001,100,elasticnet,saga,0.1,0.9,0.1,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.1, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8262557505360228,0.8235574220945482,0.8289627282581506,0.8388018010506127,0.8452196260949962,0.8325594656068661,0.008160349821241161,3258
2246,0.017922067642211915,0.0030718395128533495,0.002902793884277344,0.0006623440013162879,0.001,10000,elasticnet,saga,0.1,0.85,0.8,"{'logistic__C': 0.001, 'logistic__l1_ratio': 0.8, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.85}",0.8268125897708112,0.8235574220945482,0.8289627282581506,0.8381138997748687,0.8452196260949962,0.8325332531986751,0.007976563870345578,3259
2291,0.01521453857421875,0.002373921446611532,0.0032386302947998045,0.000410734402943065,0.001,10000,elasticnet,saga,0.1,0.85,0.9,"{'logistic__C': 0.001, 'logistic__l1_ratio': 0.9, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.85}",0.8268125897708112,0.8231983388496846,0.8293796381222379,0.8377699491369965,0.8452196260949962,0.8324760283949454,0.007976999087781746,3260
2230,0.015493440628051757,0.0020919216738362,0.002704620361328125,0.0007475383140116354,0.001,1000,elasticnet,saga,0.1,0.8,0.8,"{'logistic__C': 0.001, 'logistic__l1_ratio': 0.8, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.8}",0.8268125897708112,0.822344865630009,0.8289627282581506,0.8388018010506127,0.8452196260949962,0.8324283221609159,0.008360162396488182,3261
1633,0.018228435516357423,0.003441127243917063,0.002733182907104492,0.0004245559316286799,0.0001,100,elasticnet,saga,0.1,0.95,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8268125897708112,0.8221939465850664,0.8289627282581506,0.8388018010506127,0.8452196260949962,0.8323981383519274,0.008396706127803986,3262
2335,0.015311622619628906,0.003658242526716886,0.0024032115936279295,0.0004892908867400593,0.001,10000,elasticnet,saga,0.1,0.8,0.95,"{'logistic__C': 0.001, 'logistic__l1_ratio': 0.95, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.8}",0.826765752825829,0.8235574220945482,0.8264039439673143,0.8388018010506127,0.8445301114193032,0.8320118062715214,0.008164040679258426,3263
2320,0.018458843231201172,0.0026296016417278975,0.0032148838043212892,0.0006811236907246035,0.001,1000,elasticnet,saga,0.1,0.8,0.95,"{'logistic__C': 0.001, 'logistic__l1_ratio': 0.95, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.8}",0.8270155498657341,0.8235574220945482,0.8289627282581506,0.8352789126990744,0.8452196260949962,0.8320068478025007,0.0076270103262301185,3264
2323,0.025101089477539064,0.005589438175270072,0.003536558151245117,0.0012174642199900155,0.001,1000,elasticnet,saga,0.1,0.95,0.95,"{'logistic__C': 0.001, 'logistic__l1_ratio': 0.95, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8268125897708112,0.8235574220945482,0.8289627282581506,0.8342783290252648,0.8452196260949962,0.8317661390487542,0.007577429758508276,3265
