,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34,2.2803107261657716,0.019458446619989817,0.00720067024230957,0.003918098014031458,mle,0.1,4,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.8411967359853453,0.8361461520847645,0.8417566497123322,0.8487477069957475,0.8478993308573488,0.8431493151271077,0.0046626390770118506,17
2,2.8144147872924803,0.012318693460157118,0.02131180763244629,0.009722073889203297,mle,0.001,4,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.8371037074044007,0.8382225899789754,0.8387132077044943,0.8445186775619112,0.8568212328731346,0.8430758831045833,0.007338536223381018,18
0,1.472489070892334,0.03545567741502855,0.01000041961669922,0.006324473977153989,mle,0.001,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.8360524781948,0.8373404941818107,0.8384552447260901,0.8458267322604854,0.8569909997440438,0.842933189821446,0.0078060109780872175,19
40,2.6405627727508545,0.12024547786659288,0.0078030586242675785,0.0039208779512957415,mle,0.1,6,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.841618268490185,0.8357454359999168,0.8361778745935129,0.8495997665304762,0.8497902726194766,0.8425863236467135,0.006162602627715356,20
17,1.1718349933624268,0.0072956185347045795,0.010708999633789063,0.0014067018343581932,mle,0.01,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.8352042090801225,0.839029226253669,0.836527036604686,0.8467752022012841,0.8552619894587831,0.8425595327197091,0.007511047002261715,21
14,23.242825508117676,0.24967356100944219,0.008602094650268555,0.0027969837778091,mle,0.001,6,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.8366093174295886,0.8389980016236808,0.8371836696406237,0.8468924581005587,0.8526345206567105,0.8424635934902325,0.006280494760762184,22
31,23.071722555160523,0.7948602447550968,0.010003900527954102,8.312025326006921e-06,mle,0.01,6,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.8411238785153727,0.8339057848831158,0.8374702951721837,0.8491281372467273,0.850182042321575,0.842362027627795,0.006385968527720054,23
29,8.695170497894287,0.1354199431545761,0.004003143310546875,0.004902832079567842,mle,0.01,6,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.8412175524053372,0.8350324736151877,0.8356332860835487,0.8466657633619612,0.8525065425540249,0.8422111236040118,0.006657741547460132,24
24,2.550590467453003,0.12710028906593984,0.010004234313964844,8.499747739511601e-06,mle,0.01,6,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.8349387997252232,0.8365468681696122,0.8349610189277078,0.8468742182940048,0.8532038926237601,0.8413049595480617,0.0074298621571249395,25
41,2.9850517749786376,0.09796575197462166,0.009511899948120118,0.0018121483901340802,mle,0.1,6,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.8392321863485918,0.8346629821603281,0.8343721337446843,0.8474448636704744,0.8495134220299939,0.8410451175908145,0.006343753080181482,26
